Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
23-24;1;Championat de France;Exterieur;Defaite;Roche Vendée;;Starter;M. Fauthoux;39;26;0,43;39,43;4;8;0,5;2;5;0,4;2;3;0,666666667;7;9;0,777777778;;;;;;;;17;1;5;6;6;8;3;1;0;3;9;-8;19;4;M. Fauthoux
23-24;1;Championat de France;Exterieur;Defaite;Roche Vendée;;Starter;L. Quevedo Canizares;39;0;0;39;4;11;0,363636364;3;5;0,6;1;6;0,166666667;0;0;;;;;;;;;9;3;3;6;4;2;2;1;0;0;1;-2;13;9;L. Quevedo Canizares
23-24;1;Championat de France;Exterieur;Defaite;Roche Vendée;Capitaine;Starter;A. Chery;34;33;0,55;34,55;4;12;0,333333333;2;6;0,333333333;2;6;0,333333333;1;2;0,5;;;;;;;;11;1;8;9;3;2;2;0;0;4;2;-3;14;12;A. Chery(C)
23-24;1;Championat de France;Exterieur;Defaite;Roche Vendée;;Starter;H. Ciak;34;11;0,18;34,18;4;13;0,307692308;4;12;0,333333333;0;1;0;0;0;;;;;;;;;8;4;8;12;0;3;1;0;2;3;1;-11;9;16;H. Ciak
23-24;1;Championat de France;Exterieur;Defaite;Roche Vendée;;Starter;J. Mouyokolo;14;60;1;15;2;4;0,5;1;2;0,5;1;2;0,5;0;0;;;;;;;;;5;1;0;1;1;1;0;0;0;5;0;5;4;20;J. Mouyokolo
23-24;1;Championat de France;Exterieur;Defaite;Roche Vendée;;Banc;A. Risacher;21;38;0,63;21,63;2;8;0,25;2;6;0,333333333;0;2;0;2;2;1;;;;;;;;6;2;1;3;1;4;1;1;0;1;1;-8;2;2;A. Risacher
23-24;1;Championat de France;Exterieur;Defaite;Roche Vendée;;Banc;N. Durand;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;18;N. Durand
23-24;1;Championat de France;Exterieur;Defaite;Roche Vendée;;Banc;A. Camara;15;38;0,63;15,63;1;6;0,166666667;1;5;0,2;0;1;0;0;0;;;;;;;;;2;0;0;0;1;0;1;0;0;1;1;-13;-1;19;A. Camara
23-24;1;Championat de France;Exterieur;Defaite;Roche Vendée;;Banc;M. Faurat;0;34;0,57;0,57;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;1;0;0;0;0;0;1;21;M. Faurat
23-24;1;Championat de France;Exterieur;Defaite;Roche Vendée;;Banc;TOTAUX EQUIPE;;;;;21;62;0,338709677;15;41;0,365853659;6;21;0,285714286;10;13;0,769230769;13;20;2;15;8;14;11;58;13;26;39;16;21;11;3;2;17;15;0;62;;TOTAUX EQUIPE
23-24;2;Championat de France;Domicile;Victoire;Angers;;Starter;M. Fauthoux;36;43;0,72;36,72;8;18;0,444444444;4;8;0,5;4;10;0,4;10;10;1;;;;;;;;30;0;5;5;5;7;3;0;1;4;6;4;26;4;M. Fauthoux
23-24;2;Championat de France;Domicile;Victoire;Angers;;Starter;S. Gruda;19;6;0,1;19,1;4;6;0,666666667;4;6;0,666666667;0;0;;0;0;;;;;;;;;8;1;3;4;2;1;0;0;0;0;4;5;11;7;S. Gruda
23-24;2;Championat de France;Domicile;Victoire;Angers;;Starter;L. Quevedo Canizares;36;59;0,98;36,98;6;15;0,4;1;5;0,2;5;10;0,5;2;2;1;;;;;;;;19;0;6;6;3;1;3;0;0;3;1;5;21;9;L. Quevedo Canizares
23-24;2;Championat de France;Domicile;Victoire;Angers;Capitaine;Starter;A. Chery;34;47;0,78;34,78;2;9;0,222222222;2;5;0,4;0;4;0;0;0;;;;;;;;;4;1;3;4;0;1;1;0;0;2;2;-3;1;12;A. Chery(C)
23-24;2;Championat de France;Domicile;Victoire;Angers;;Starter;J. Mouyokolo;4;23;0,38;4,38;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-2;0;20;J. Mouyokolo
23-24;2;Championat de France;Domicile;Victoire;Angers;;Banc;A. Risacher;12;16;0,27;12,27;0;0;;0;0;;0;0;;0;2;0;;;;;;;;0;1;1;2;0;1;0;0;0;3;1;10;-1;18;A. Risacher
23-24;2;Championat de France;Domicile;Victoire;Angers;;Banc;A. Camara;11;9;0,15;11,15;0;1;0;0;1;0;0;0;;0;2;0;;;;;;;;0;1;2;3;2;1;1;0;0;2;2;12;2;19;A. Camara
23-24;2;Championat de France;Domicile;Victoire;Angers;;Banc;M. Faurat;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;21;M. Faurat
23-24;2;Championat de France;Domicile;Victoire;Angers;;Banc;J. Davis;27;13;0,22;27,22;1;4;0,25;1;3;0,333333333;0;1;0;0;0;;;;;;;;;2;1;2;3;0;0;2;0;0;3;1;-8;4;32;J. Davis
23-24;2;Championat de France;Domicile;Victoire;Angers;;Banc;N. Miyem;17;24;0,4;17,4;1;5;0,2;1;3;0,333333333;0;2;0;2;2;1;;;;;;;;4;1;7;8;0;2;1;1;0;1;1;-3;8;77;N. Miyem
23-24;2;Championat de France;Domicile;Victoire;Angers;;Banc;TOTAUX EQUIPE;;;;;22;58;0,379310345;13;31;0,419354839;9;27;0,333333333;14;18;0,777777778;11;18;4;7;6;5;15;67;7;33;40;12;16;11;1;1;18;18;0;75;;TOTAUX EQUIPE
23-24;3;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;M. Fauthoux;32;22;0,37;32,37;3;12;0,25;3;7;0,428571429;0;5;0;2;2;1;;;;;;;;8;0;6;6;2;4;1;0;2;3;5;-5;4;4;M. Fauthoux
23-24;3;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;S. Gruda;27;51;0,85;27,85;3;4;0,75;3;4;0,75;0;0;;4;10;0,4;;;;;;;;10;0;2;2;3;3;2;0;1;1;6;-5;7;7;S. Gruda
23-24;3;Championat de France;Exterieur;Defaite;Charleville-Mézières;Capitaine;Starter;A. Chery;29;39;0,65;29,65;3;6;0,5;1;4;0,25;2;2;1;0;0;;;;;;;;;8;0;8;8;2;2;1;0;0;2;0;0;14;12;A. Chery(C)
23-24;3;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;J. Mouyokolo;28;14;0,23;28,23;2;6;0,333333333;1;2;0,5;1;4;0,25;0;0;;;;;;;;;5;0;1;1;1;2;1;1;0;2;0;-3;3;20;J. Mouyokolo
23-24;3;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;J. Allemand;31;3;0,05;31,05;6;8;0,75;2;3;0,666666667;4;5;0,8;0;0;;;;;;;;;16;0;3;3;5;2;2;0;0;3;2;0;22;22;J. Allemand
23-24;3;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;H. Ciak;16;14;0,23;16,23;4;6;0,666666667;4;6;0,666666667;0;0;;0;0;;;;;;;;;8;1;3;4;0;0;0;0;0;1;2;-1;10;16;H. Ciak
23-24;3;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;M. Faurat;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;21;M. Faurat
23-24;3;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;J. Davis;9;7;0,12;9,12;0;1;0;0;0;;0;1;0;1;2;0,5;;;;;;;;1;0;1;1;1;3;1;0;0;0;1;-8;-1;32;J. Davis
23-24;3;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;N. Miyem;25;30;0,5;25,5;2;7;0,285714286;2;5;0,4;0;2;0;2;2;1;;;;;;;;6;0;1;1;3;2;0;0;1;1;2;2;3;77;N. Miyem
23-24;3;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;TOTAUX EQUIPE;;;;;23;50;0,46;16;31;0,516129032;7;19;0,368421053;9;16;0,5625;5;20;5;4;15;12;6;62;3;27;30;17;18;8;1;4;13;18;0;66;;TOTAUX EQUIPE
23-24;4;Championat de France;Domicile;Victoire;Tarbes;;Starter;M. Fauthoux;33;44;0,73;33,73;5;14;0,357142857;4;8;0,5;1;6;0,166666667;5;6;0,833333333;;;;;;;;16;1;3;4;3;3;1;0;0;2;5;14;11;4;M. Fauthoux
23-24;4;Championat de France;Domicile;Victoire;Tarbes;;Starter;S. Gruda;23;41;0,68;23,68;6;11;0,545454545;6;11;0,545454545;0;0;;1;2;0,5;;;;;;;;13;2;3;5;1;3;2;1;0;3;1;8;13;7;S. Gruda
23-24;4;Championat de France;Domicile;Victoire;Tarbes;Capitaine;Starter;A. Chery;32;29;0,48;32,48;5;9;0,555555556;4;5;0,8;1;4;0,25;1;1;1;;;;;;;;12;0;7;7;2;0;0;0;0;3;2;26;17;12;A. Chery(C)
