Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
23-24;1/16 de finale;Coupe de France;Exterieur;Defaite;Chartres;;Starter;A. Okonkwo;34;29;0,48;34,48;7;18;0,388888889;4;12;0,333333333;3;6;0,5;2;4;0,5;;;;;;;;19;2;7;9;3;3;4;1;2;3;2;8;20;0;A. Okonkwo
23-24;1/16 de finale;Coupe de France;Exterieur;Defaite;Chartres;Capitaine;Starter;P. Lezin;31;37;0,62;31,62;2;5;0,4;0;1;0;2;4;0,5;5;6;0,833333333;;;;;;;;11;2;1;3;0;2;1;1;0;2;3;-7;10;9;P. Lezin(C)
23-24;1/16 de finale;Coupe de France;Exterieur;Defaite;Chartres;;Starter;L. Evrard;33;6;0,1;33,1;1;6;0,166666667;0;4;0;1;2;0,5;4;4;1;;;;;;;;7;1;0;1;8;4;1;0;0;3;5;2;8;11;L. Evrard
23-24;1/16 de finale;Coupe de France;Exterieur;Defaite;Chartres;;Starter;E. Le Bras;19;34;0,57;19,57;2;7;0,285714286;2;7;0,285714286;0;0;;1;4;0,25;;;;;;;;5;1;5;6;3;1;0;0;1;1;2;-2;5;22;E. Le Bras
23-24;1/16 de finale;Coupe de France;Exterieur;Defaite;Chartres;;Starter;E. Akhator;25;29;0,48;25,48;6;10;0,6;6;10;0,6;0;0;;6;7;0,857142857;;;;;;;;18;4;8;12;0;3;1;0;0;1;8;-8;23;23;E. Akhator
23-24;1/16 de finale;Coupe de France;Exterieur;Defaite;Chartres;;Banc;E. Youbi Kamdem;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;5;E. Youbi Kamdem
23-24;1/16 de finale;Coupe de France;Exterieur;Defaite;Chartres;;Banc;F. Bamba;1;26;0,43;1,43;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;2;0;0;0;1;0;-1;-2;13;F. Bamba
23-24;1/16 de finale;Coupe de France;Exterieur;Defaite;Chartres;;Banc;A. Kane;19;10;0,17;19,17;2;3;0,666666667;2;3;0,666666667;0;0;;2;2;1;;;;;;;;6;2;1;3;0;1;0;0;0;0;2;-2;7;17;A. Kane
23-24;1/16 de finale;Coupe de France;Exterieur;Defaite;Chartres;;Banc;R. Barahman;17;58;0,97;17,97;0;5;0;0;2;0;0;3;0;2;2;1;;;;;;;;2;0;1;1;0;1;0;0;1;2;2;0;-3;21;R. Barahman
23-24;1/16 de finale;Coupe de France;Exterieur;Defaite;Chartres;;Banc;A. Trasi;17;11;0,18;17,18;0;4;0;0;2;0;0;2;0;2;4;0,5;;;;;;;;2;2;3;5;2;0;1;0;0;4;3;0;4;32;A. Trasi
23-24;1/16 de finale;Coupe de France;Exterieur;Defaite;Chartres;;Banc;TOTAUX EQUIPE;;;;;20;58;0,344827586;14;41;0,341463415;6;17;0,352941176;24;33;0,727272727;10;28;12;6;10;7;7;70;14;29;43;16;19;8;2;4;17;27;0;73;;TOTAUX EQUIPE
23-24;1;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Starter;A. Okonkwo;34;33;0,55;34,55;2;15;0,133333333;1;4;0,25;1;11;0,090909091;4;4;1;;;;;;;;9;0;5;5;0;4;3;1;1;3;4;-11;1;0;A. Okonkwo
23-24;1;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Starter;P. Lezin;30;50;0,83;30,83;1;5;0,2;1;2;0,5;0;3;0;0;0;;;;;;;;;2;2;2;4;1;1;1;0;0;2;0;-14;3;9;P. Lezin
23-24;1;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Starter;L. Evrard;26;7;0,12;26,12;1;10;0,1;1;5;0,2;0;5;0;2;2;1;;;;;;;;4;1;2;3;3;3;2;0;3;3;1;-9;0;11;L. Evrard
23-24;1;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Starter;N. Woolfolk;22;48;0,8;22,8;6;14;0,428571429;4;7;0,571428571;2;7;0,285714286;9;10;0,9;;;;;;;;23;0;3;3;0;2;3;0;0;4;7;-3;18;13;N. Woolfolk
23-24;1;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Starter;A. Kane;30;15;0,25;30,25;1;5;0,2;1;5;0,2;0;0;;1;1;1;;;;;;;;3;5;3;8;1;2;3;3;0;2;1;-8;12;17;A. Kane
23-24;1;Championat de France;Exterieur;Defaite;Lattes Montpellier;Capitaine;Banc;V. Bremont;16;6;0,1;16,1;0;6;0;0;2;0;0;4;0;0;0;;;;;;;;;0;0;1;1;0;3;0;0;0;2;1;-15;-8;5;V. Bremont(C)
23-24;1;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;R. Barahman;20;2;0,03;20,03;1;7;0,142857143;1;4;0,25;0;3;0;4;4;1;;;;;;;;6;0;2;2;0;1;0;1;0;2;4;-15;2;21;R. Barahman
23-24;1;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;E. Le Bras;4;8;0,13;4,13;1;2;0,5;1;2;0,5;0;0;;0;0;;;;;;;;;2;0;0;0;0;0;0;0;0;0;0;-1;1;22;E. Le Bras
23-24;1;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;A. Trasi;15;12;0,2;15,2;0;1;0;0;0;;0;1;0;0;0;;;;;;;;;0;2;2;4;0;2;0;0;0;5;1;-19;1;32;A. Trasi
23-24;1;Championat de France;Exterieur;Defaite;Lattes Montpellier;;Banc;TOTAUX EQUIPE;;;;;13;65;0,2;10;31;0,322580645;3;34;0,088235294;20;21;0,952380952;13;20;6;11;8;3;11;49;11;23;34;5;19;12;5;4;23;19;0;33;;TOTAUX EQUIPE
23-24;2;Championat de France;Domicile;Defaite;Bourges;;Starter;A. Okonkwo;34;49;0,82;34,82;11;24;0,458333333;7;14;0,5;4;10;0,4;4;5;0,8;;;;;;;;30;2;3;5;2;0;1;0;0;2;5;-23;24;0;A. Okonkwo
23-24;2;Championat de France;Domicile;Defaite;Bourges;Capitaine;Starter;V. Bremont;32;14;0,23;32,23;0;6;0;0;3;0;0;3;0;0;2;0;;;;;;;;0;1;2;3;5;2;1;0;0;2;3;-19;-1;5;V. Bremont(C)
23-24;2;Championat de France;Domicile;Defaite;Bourges;;Starter;P. Lezin;26;34;0,57;26,57;0;2;0;0;1;0;0;1;0;0;0;;;;;;;;;0;0;4;4;4;2;0;0;0;3;1;-21;4;9;P. Lezin
23-24;2;Championat de France;Domicile;Defaite;Bourges;;Starter;A. Kane;26;51;0,85;26,85;3;4;0,75;3;4;0,75;0;0;;0;0;;;;;;;;;6;5;2;7;1;1;0;2;0;4;1;-8;14;17;A. Kane
23-24;2;Championat de France;Domicile;Defaite;Bourges;;Starter;R. Barahman;24;12;0,2;24,2;3;12;0,25;1;8;0,125;2;4;0,5;0;0;;;;;;;;;8;2;2;4;1;5;0;0;0;4;6;-11;-1;21;R. Barahman
23-24;2;Championat de France;Domicile;Defaite;Bourges;;Banc;N. Woolfolk;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;N. Woolfolk
23-24;2;Championat de France;Domicile;Defaite;Bourges;;Banc;L. Evrard;28;37;0,62;28,62;2;6;0,333333333;1;3;0,333333333;1;3;0,333333333;2;2;1;;;;;;;;7;0;1;1;4;6;2;0;0;1;2;-16;4;11;L. Evrard
23-24;2;Championat de France;Domicile;Defaite;Bourges;;Banc;F. Bamba;2;18;0,3;2,3;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;2;0;13;F. Bamba
23-24;2;Championat de France;Domicile;Defaite;Bourges;;Banc;E. Le Bras;6;5;0,08;6,08;0;2;0;0;2;0;0;0;;0;0;;;;;;;;;0;0;1;1;2;1;0;0;0;3;0;-1;0;22;E. Le Bras
23-24;2;Championat de France;Domicile;Defaite;Bourges;;Banc;A. Trasi;18;20;0,33;18,33;3;5;0,6;3;5;0,6;0;0;;1;2;0,5;;;;;;;;7;0;3;3;0;0;0;0;0;2;3;-13;7;32;A. Trasi
23-24;2;Championat de France;Domicile;Defaite;Bourges;;Banc;TOTAUX EQUIPE;;;;;22;61;0,360655738;15;40;0,375;7;21;0,333333333;7;11;0,636363636;14;18;9;10;14;1;8;58;11;20;31;19;17;4;2;0;21;21;0;54;;TOTAUX EQUIPE
23-24;3;Championat de France;Exterieur;Defaite;Roche Vendée;;Starter;A. Okonkwo;32;47;0,78;32,78;5;16;0,3125;4;11;0,363636364;1;5;0,2;0;0;;;;;;;;;11;5;4;9;3;0;1;0;1;3;0;-15;13;0;A. Okonkwo
23-24;3;Championat de France;Exterieur;Defaite;Roche Vendée;Capitaine;Starter;V. Bremont;25;27;0,45;25,45;1;3;0,333333333;0;1;0;1;2;0,5;0;0;;;;;;;;;3;1;3;4;3;0;3;0;0;5;0;-6;11;5;V. Bremont(C)
23-24;3;Championat de France;Exterieur;Defaite;Roche Vendée;;Starter;P. Lezin;25;33;0,55;25,55;1;5;0,2;0;2;0;1;3;0,333333333;0;0;;;;;;;;;3;1;3;4;3;0;0;0;1;5;1;7;6;9;P. Lezin
23-24;3;Championat de France;Exterieur;Defaite;Roche Vendée;;Starter;A. Kane;33;21;0,35;33,35;2;7;0,285714286;2;7;0,285714286;0;0;;0;0;;;;;;;;;4;1;5;6;1;0;1;4;0;1;1;-1;11;17;A. Kane
23-24;3;Championat de France;Exterieur;Defaite;Roche Vendée;;Starter;R. Barahman;29;21;0,35;29,35;6;10;0,6;4;5;0,8;2;5;0,4;3;3;1;;;;;;;;17;1;2;3;3;6;2;0;0;3;5;-12;15;21;R. Barahman
23-24;3;Championat de France;Exterieur;Defaite;Roche Vendée;;Banc;L. Evrard;20;6;0,1;20,1;2;4;0,5;1;1;1;1;3;0,333333333;0;0;;;;;;;;;5;0;0;0;1;1;0;0;0;4;1;3;3;11;L. Evrard
23-24;3;Championat de France;Exterieur;Defaite;Roche Vendée;;Banc;N. Woolfolk;23;25;0,42;23,42;10;15;0,666666667;7;8;0,875;3;7;0,428571429;2;5;0,4;;;;;;;;25;0;1;1;0;5;3;0;0;3;6;-16;16;13;N. Woolfolk
23-24;3;Championat de France;Exterieur;Defaite;Roche Vendée;;Banc;E. Le Bras;1;39;0,65;1,65;0;1;0;0;0;;0;1;0;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-3;-1;22;E. Le Bras
23-24;3;Championat de France;Exterieur;Defaite;Roche Vendée;;Banc;A. Trasi;8;21;0,35;8,35;1;4;0,25;1;2;0,5;0;2;0;2;2;1;;;;;;;;4;0;1;1;0;0;0;0;0;0;2;-7;2;32;A. Trasi
23-24;3;Championat de France;Exterieur;Defaite;Roche Vendée;;Banc;TOTAUX EQUIPE;;;;;28;65;0,430769231;19;37;0,513513514;9;28;0,321428571;7;10;0,7;18;26;8;7;34;8;8;72;9;20;29;14;14;10;4;2;24;16;0;75;;TOTAUX EQUIPE
23-24;4;Championat de France;Domicile;Defaite;Angers;;Starter;A. Okonkwo;38;30;0,5;38,5;4;11;0,363636364;3;8;0,375;1;3;0,333333333;14;14;1;;;;;;;;23;1;8;9;3;5;2;0;1;3;11;-4;25;0;A. Okonkwo
23-24;4;Championat de France;Domicile;Defaite;Angers;Capitaine;Starter;V. Bremont;8;12;0,2;8,2;1;2;0,5;1;1;1;0;1;0;1;1;1;;;;;;;;3;1;0;1;2;1;1;0;0;0;1;7;5;5;V. Bremont(C)
23-24;4;Championat de France;Domicile;Defaite;Angers;;Starter;P. Lezin;27;19;0,32;27,32;2;6;0,333333333;2;4;0,5;0;2;0;0;0;;;;;;;;;4;0;4;4;0;2;0;0;1;4;0;-1;2;9;P. Lezin
23-24;4;Championat de France;Domicile;Defaite;Angers;;Starter;A. Kane;33;10;0,17;33,17;4;7;0,571428571;4;7;0,571428571;0;0;;1;2;0,5;;;;;;;;9;3;3;6;0;1;0;1;0;2;3;-4;11;17;A. Kane
23-24;4;Championat de France;Domicile;Defaite;Angers;;Starter;R. Barahman;33;43;0,72;33,72;4;13;0,307692308;4;9;0,444444444;0;4;0;0;0;;;;;;;;;8;0;4;4;1;4;1;0;0;2;1;-1;1;21;R. Barahman
23-24;4;Championat de France;Domicile;Defaite;Angers;;Banc;L. Evrard;30;45;0,75;30,75;3;9;0,333333333;2;6;0,333333333;1;3;0,333333333;3;3;1;;;;;;;;10;0;0;0;1;3;2;0;0;1;2;-15;4;11;L. Evrard
23-24;4;Championat de France;Domicile;Defaite;Angers;;Banc;F. Bamba;0;35;0,58;0,58;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-2;0;13;F. Bamba
23-24;4;Championat de France;Domicile;Defaite;Angers;;Banc;E. Le Bras;5;47;0,78;5,78;1;1;1;1;1;1;0;0;;0;0;;;;;;;;;2;0;0;0;0;0;0;0;0;0;0;-2;2;22;E. Le Bras
23-24;4;Championat de France;Domicile;Defaite;Angers;;Banc;E. Youbi Kamdem;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;23;E. Youbi Kamdem
23-24;4;Championat de France;Domicile;Defaite;Angers;;Banc;A. Trasi;21;58;0,97;21,97;2;5;0,4;2;5;0,4;0;0;;1;1;1;;;;;;;;5;1;2;3;2;0;0;1;0;3;3;-8;8;32;A. Trasi
23-24;4;Championat de France;Domicile;Defaite;Angers;;Banc;TOTAUX EQUIPE;;;;;21;54;0,388888889;19;41;0,463414634;2;13;0,153846154;20;21;0,952380952;13;36;10;13;17;9;8;64;6;25;31;9;18;6;2;2;15;21;0;60;;TOTAUX EQUIPE
23-24;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;A. Okonkwo;38;33;0,55;38,55;7;14;0,5;6;9;0,666666667;1;5;0,2;8;9;0,888888889;;;;;;;;23;2;4;6;3;4;1;1;0;1;6;-16;22;0;A. Okonkwo
23-24;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;Capitaine;Starter;P. Lezin;37;41;0,68;37,68;3;9;0,333333333;3;5;0,6;0;4;0;2;2;1;;;;;;;;8;2;2;4;1;2;1;0;0;2;1;-13;6;9;P. Lezin(C)
23-24;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;L. Evrard;29;11;0,18;29,18;2;6;0,333333333;0;1;0;2;5;0,4;0;0;;;;;;;;;6;0;0;0;9;2;0;0;0;3;1;-18;9;11;L. Evrard
23-24;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;A. Kane;21;9;0,15;21,15;1;3;0,333333333;1;3;0,333333333;0;0;;2;3;0,666666667;;;;;;;;4;1;3;4;0;0;0;0;0;0;2;-5;5;17;A. Kane
23-24;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Starter;R. Barahman;22;8;0,13;22,13;4;6;0,666666667;4;5;0,8;0;1;0;0;1;0;;;;;;;;8;1;5;6;5;6;1;0;0;1;1;-7;11;21;R. Barahman
23-24;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;F. Bamba;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;13;F. Bamba
23-24;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;E. Le Bras;3;38;0,63;3,63;1;1;1;0;0;;1;1;1;0;0;;;;;;;;;3;0;0;0;0;1;0;0;0;0;0;-2;2;22;E. Le Bras
23-24;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;E. Akhator;20;18;0,3;20,3;3;7;0,428571429;3;6;0,5;0;1;0;4;7;0,571428571;;;;;;;;10;0;7;7;0;2;1;0;0;2;4;-1;9;23;E. Akhator
23-24;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;A. Trasi;27;22;0,37;27,37;2;5;0,4;2;4;0,5;0;1;0;1;2;0,5;;;;;;;;5;0;7;7;3;3;2;0;0;4;1;7;10;32;A. Trasi
23-24;5;Championat de France;Exterieur;Defaite;Charleville-Mézières;;Banc;TOTAUX EQUIPE;;;;;23;51;0,450980392;19;33;0,575757576;4;18;0,222222222;17;24;0,708333333;12;28;7;9;18;12;17;67;6;29;35;21;20;6;1;0;13;16;0;75;;TOTAUX EQUIPE
23-24;6;Championat de France;Domicile;Defaite;Tarbes;;Starter;A. Okonkwo;34;10;0,17;34,17;7;16;0,4375;6;14;0,428571429;1;2;0,5;5;5;1;;;;;;;;20;2;8;10;1;2;1;0;1;3;3;7;21;0;A. Okonkwo
23-24;6;Championat de France;Domicile;Defaite;Tarbes;Capitaine;Starter;P. Lezin;30;10;0,17;30,17;1;3;0,333333333;1;1;1;0;2;0;0;0;;;;;;;;;2;0;3;3;0;1;0;0;0;2;1;-6;2;9;P. Lezin(C)
23-24;6;Championat de France;Domicile;Defaite;Tarbes;;Starter;L. Evrard;34;34;0,57;34,57;1;9;0,111111111;1;8;0,125;0;1;0;0;1;0;;;;;;;;2;0;0;0;8;2;0;0;1;2;4;-2;-1;11;L. Evrard
23-24;6;Championat de France;Domicile;Defaite;Tarbes;;Starter;N. Woolfolk;26;59;0,98;26,98;6;14;0,428571429;5;13;0,384615385;1;1;1;2;2;1;;;;;;;;15;0;2;2;1;1;1;0;1;5;4;2;10;13;N. Woolfolk
